DayStarted,AgentGroup,TotalInactive,TimeInactiveFiveMin,TimeInactiveThirtyMin,TimeInactiveFiftyFiveMin,TotalNumberOfConversations,TotalResumedFromInactive,TotalResumedFromInactivePct,TotalNumbersClosedBySystem
2021-08-27 19:04:27.958+0000,,33,14,17,1,936834,127720,0.13633151657604228,148375
2021-08-31 19:05:09.075+0000,,40,14,17,3,936834,127720,0.13633151657604228,148375
2021-08-25 19:04:30.587+0000,,26,7,16,1,936834,127720,0.13633151657604228,148375
2021-08-28 19:03:40.296+0000,,32,8,16,1,936834,127720,0.13633151657604228,148375
2021-08-24 19:04:07.968+0000,,40,6,27,1,936834,127720,0.13633151657604228,148375
2021-09-01 19:04:48.073+0000,,37,15,21,0,936834,127720,0.13633151657604228,148375
2021-08-30 19:04:23.006+0000,,31,9,19,0,936834,127720,0.13633151657604228,148375
2021-09-02 18:28:17.253+0000,,14,5,9,0,936834,127720,0.13633151657604228,148375
2021-08-29 19:01:23.238+0000,,27,13,13,0,936834,127720,0.13633151657604228,148375
2021-08-26 19:03:28.107+0000,,32,13,16,2,936834,127720,0.13633151657604228,148375
2021-08-31 19:04:14.170+0000,,31,10,14,1,936834,127720,0.13633151657604228,148375
2021-08-25 19:03:35.057+0000,,35,17,16,1,936834,127720,0.13633151657604228,148375
2021-08-30 19:03:33.174+0000,,49,22,21,2,936834,127720,0.13633151657604228,148375
2021-09-01 19:04:08.393+0000,,31,13,16,1,936834,127720,0.13633151657604228,148375
2021-08-27 19:03:19.983+0000,,36,15,15,2,936834,127720,0.13633151657604228,148375
2021-08-28 19:02:33.891+0000,,27,9,15,1,936834,127720,0.13633151657604228,148375
2021-08-26 19:02:43.016+0000,,35,10,21,3,936834,127720,0.13633151657604228,148375
2021-09-02 18:26:45.549+0000,,17,4,13,0,936834,127720,0.13633151657604228,148375
2021-08-24 19:03:17.115+0000,,25,6,13,1,936834,127720,0.13633151657604228,148375
2021-08-25 19:02:44.561+0000,,23,9,12,0,936834,127720,0.13633151657604228,148375
2021-08-29 19:00:06.768+0000,,25,10,12,1,936834,127720,0.13633151657604228,148375
2021-08-31 19:03:23.612+0000,,45,17,23,0,936834,127720,0.13633151657604228,148375
2021-09-01 19:03:12.974+0000,,34,11,18,2,936834,127720,0.13633151657604228,148375
2021-08-30 19:02:43.556+0000,,30,9,14,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:25:33.942+0000,,17,4,13,0,936834,127720,0.13633151657604228,148375
2021-08-27 19:02:21.850+0000,,32,9,22,1,936834,127720,0.13633151657604228,148375
2021-08-26 19:01:47.253+0000,,41,9,21,2,936834,127720,0.13633151657604228,148375
2021-08-29 18:59:01.024+0000,,42,12,26,0,936834,127720,0.13633151657604228,148375
2021-08-28 19:01:29.576+0000,,37,15,16,2,936834,127720,0.13633151657604228,148375
2021-08-31 19:02:21.525+0000,,28,10,14,2,936834,127720,0.13633151657604228,148375
2021-09-01 19:02:20.983+0000,,28,11,15,0,936834,127720,0.13633151657604228,148375
2021-09-02 18:24:05.325+0000,,21,9,12,0,936834,127720,0.13633151657604228,148375
2021-08-29 18:57:35.171+0000,,30,6,18,2,936834,127720,0.13633151657604228,148375
2021-08-30 19:01:51.622+0000,,26,9,15,0,936834,127720,0.13633151657604228,148375
2021-08-24 19:02:33.397+0000,,42,21,15,1,936834,127720,0.13633151657604228,148375
2021-08-25 19:01:44.201+0000,,40,13,20,2,936834,127720,0.13633151657604228,148375
2021-08-27 19:01:33.421+0000,,30,13,14,2,936834,127720,0.13633151657604228,148375
2021-08-26 19:00:52.272+0000,,37,19,17,0,936834,127720,0.13633151657604228,148375
2021-08-28 19:00:21.428+0000,,30,14,15,0,936834,127720,0.13633151657604228,148375
2021-08-31 19:01:09.944+0000,,34,10,21,2,936834,127720,0.13633151657604228,148375
2021-08-26 18:59:54.446+0000,,30,11,15,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:22:27.810+0000,,28,11,17,0,936834,127720,0.13633151657604228,148375
2021-08-28 18:59:22.366+0000,,31,8,20,1,936834,127720,0.13633151657604228,148375
2021-08-30 19:01:06.650+0000,,41,9,26,3,936834,127720,0.13633151657604228,148375
2021-08-24 19:01:45.497+0000,,32,7,21,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:56:16.028+0000,,38,14,19,2,936834,127720,0.13633151657604228,148375
2021-09-01 19:01:31.650+0000,,34,10,18,1,936834,127720,0.13633151657604228,148375
2021-08-27 19:00:43.663+0000,,32,15,12,3,936834,127720,0.13633151657604228,148375
2021-08-25 19:00:49.836+0000,,28,12,13,0,936834,127720,0.13633151657604228,148375
2021-08-26 18:59:03.961+0000,,41,17,19,3,936834,127720,0.13633151657604228,148375
2021-08-31 19:00:19.897+0000,,34,19,12,0,936834,127720,0.13633151657604228,148375
2021-09-01 19:00:41.285+0000,,38,13,21,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:20:44.791+0000,,19,11,8,0,936834,127720,0.13633151657604228,148375
2021-08-29 18:55:11.028+0000,,41,19,20,1,936834,127720,0.13633151657604228,148375
2021-08-28 18:58:29.744+0000,,28,7,15,1,936834,127720,0.13633151657604228,148375
2021-08-30 19:00:18.688+0000,,30,12,12,1,936834,127720,0.13633151657604228,148375
2021-08-26 18:58:12.082+0000,,27,11,15,0,936834,127720,0.13633151657604228,148375
2021-08-24 19:00:49.137+0000,,35,14,19,1,936834,127720,0.13633151657604228,148375
2021-08-25 18:59:58.989+0000,,41,15,19,0,936834,127720,0.13633151657604228,148375
2021-08-27 18:59:36.032+0000,,28,8,16,2,936834,127720,0.13633151657604228,148375
2021-09-01 18:59:48.919+0000,,23,8,12,0,936834,127720,0.13633151657604228,148375
2021-08-31 18:59:25.511+0000,,39,18,16,0,936834,127720,0.13633151657604228,148375
2021-08-26 18:57:21.536+0000,,35,11,17,3,936834,127720,0.13633151657604228,148375
2021-09-02 18:19:13.582+0000,,24,9,14,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:53:56.064+0000,,48,25,19,0,936834,127720,0.13633151657604228,148375
2021-08-28 18:57:30.301+0000,,32,7,24,0,936834,127720,0.13633151657604228,148375
2021-08-27 18:58:46.504+0000,,30,13,15,0,936834,127720,0.13633151657604228,148375
2021-08-25 18:59:09.955+0000,,24,9,11,2,936834,127720,0.13633151657604228,148375
2021-08-24 18:59:59.223+0000,,32,8,21,2,936834,127720,0.13633151657604228,148375
2021-08-30 18:59:31.020+0000,,36,10,22,0,936834,127720,0.13633151657604228,148375
2021-09-02 18:18:01.582+0000,,25,12,12,1,936834,127720,0.13633151657604228,148375
2021-09-01 18:58:57.945+0000,,36,12,19,2,936834,127720,0.13633151657604228,148375
2021-08-28 18:56:28.388+0000,,23,7,11,1,936834,127720,0.13633151657604228,148375
2021-08-26 18:56:38.029+0000,,35,12,18,1,936834,127720,0.13633151657604228,148375
2021-08-27 18:57:46.372+0000,,28,8,15,3,936834,127720,0.13633151657604228,148375
2021-08-29 18:52:48.885+0000,,44,25,12,1,936834,127720,0.13633151657604228,148375
2021-08-31 18:58:35.684+0000,,27,8,15,2,936834,127720,0.13633151657604228,148375
2021-08-25 18:58:17.700+0000,,37,12,24,0,936834,127720,0.13633151657604228,148375
2021-08-24 18:59:13.376+0000,,33,9,18,2,936834,127720,0.13633151657604228,148375
2021-08-30 18:58:43.826+0000,,37,16,16,0,936834,127720,0.13633151657604228,148375
2021-09-02 18:16:34.940+0000,,19,6,12,1,936834,127720,0.13633151657604228,148375
2021-09-01 18:58:11.305+0000,,40,17,20,2,936834,127720,0.13633151657604228,148375
2021-08-29 18:51:38.637+0000,,36,14,12,5,936834,127720,0.13633151657604228,148375
2021-08-28 18:55:21.972+0000,,33,10,19,2,936834,127720,0.13633151657604228,148375
2021-08-31 18:57:42.180+0000,,31,10,16,1,936834,127720,0.13633151657604228,148375
2021-08-24 18:58:21.904+0000,,39,11,23,1,936834,127720,0.13633151657604228,148375
2021-08-27 18:56:47.012+0000,,36,13,21,0,936834,127720,0.13633151657604228,148375
2021-08-26 18:55:54.725+0000,,31,16,12,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:50:35.318+0000,,32,16,12,3,936834,127720,0.13633151657604228,148375
2021-08-30 18:57:49.891+0000,,40,10,24,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:15:05.618+0000,,18,7,9,2,936834,127720,0.13633151657604228,148375
2021-09-01 18:57:24.854+0000,,34,13,16,2,936834,127720,0.13633151657604228,148375
2021-08-28 18:54:10.709+0000,,38,10,22,2,936834,127720,0.13633151657604228,148375
2021-08-25 18:57:26.220+0000,,36,15,18,0,936834,127720,0.13633151657604228,148375
2021-08-31 18:56:50.871+0000,,33,10,19,3,936834,127720,0.13633151657604228,148375
2021-08-27 18:55:56.143+0000,,34,19,13,1,936834,127720,0.13633151657604228,148375
2021-08-26 18:55:10.699+0000,,26,11,14,0,936834,127720,0.13633151657604228,148375
2021-08-30 18:57:00.408+0000,,25,10,13,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:49:29.456+0000,,36,14,18,0,936834,127720,0.13633151657604228,148375
2021-08-24 18:57:26.951+0000,,41,8,28,2,936834,127720,0.13633151657604228,148375
2021-08-25 18:56:40.049+0000,,28,7,18,1,936834,127720,0.13633151657604228,148375
2021-08-28 18:53:00.294+0000,,30,9,15,3,936834,127720,0.13633151657604228,148375
2021-09-01 18:56:41.085+0000,,32,11,20,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:13:34.804+0000,,15,4,11,0,936834,127720,0.13633151657604228,148375
2021-08-24 18:56:36.428+0000,,30,6,17,3,936834,127720,0.13633151657604228,148375
2021-08-27 18:55:03.407+0000,,37,12,21,0,936834,127720,0.13633151657604228,148375
2021-08-26 18:54:26.515+0000,,24,9,12,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:12:34.868+0000,,19,10,9,0,936834,127720,0.13633151657604228,148375
2021-08-28 18:51:45.395+0000,,30,9,18,2,936834,127720,0.13633151657604228,148375
2021-08-30 18:56:09.421+0000,,25,8,14,1,936834,127720,0.13633151657604228,148375
2021-08-25 18:55:43.753+0000,,28,6,18,1,936834,127720,0.13633151657604228,148375
2021-09-01 18:55:49.152+0000,,41,14,22,1,936834,127720,0.13633151657604228,148375
2021-08-31 18:55:55.029+0000,,24,10,10,0,936834,127720,0.13633151657604228,148375
2021-08-29 18:48:11.462+0000,,33,10,18,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:11:23.107+0000,,17,5,11,1,936834,127720,0.13633151657604228,148375
2021-08-27 18:54:05.128+0000,,28,12,11,1,936834,127720,0.13633151657604228,148375
2021-08-24 18:55:53.485+0000,,32,10,17,1,936834,127720,0.13633151657604228,148375
2021-08-26 18:53:41.581+0000,,45,12,27,1,936834,127720,0.13633151657604228,148375
2021-08-28 18:50:40.671+0000,,39,11,23,2,936834,127720,0.13633151657604228,148375
2021-09-01 18:55:02.793+0000,,35,10,20,2,936834,127720,0.13633151657604228,148375
2021-08-29 18:47:02.358+0000,,32,8,17,2,936834,127720,0.13633151657604228,148375
2021-08-30 18:55:25.795+0000,,35,8,19,3,936834,127720,0.13633151657604228,148375
2021-08-25 18:54:47.124+0000,,32,15,17,0,936834,127720,0.13633151657604228,148375
2021-08-31 18:54:58.583+0000,,33,10,16,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:10:12.129+0000,,16,7,9,0,936834,127720,0.13633151657604228,148375
2021-08-26 18:52:50.654+0000,,40,13,21,1,936834,127720,0.13633151657604228,148375
2021-08-24 18:55:00.951+0000,,24,6,14,0,936834,127720,0.13633151657604228,148375
2021-08-27 18:53:07.991+0000,,36,11,18,3,936834,127720,0.13633151657604228,148375
2021-09-01 18:54:20.835+0000,,28,11,16,0,936834,127720,0.13633151657604228,148375
2021-08-29 18:45:59.739+0000,,34,11,16,4,936834,127720,0.13633151657604228,148375
2021-08-28 18:49:30.534+0000,,28,12,13,0,936834,127720,0.13633151657604228,148375
2021-08-31 18:53:57.959+0000,,35,10,21,2,936834,127720,0.13633151657604228,148375
2021-08-30 18:54:43.945+0000,,42,15,26,0,936834,127720,0.13633151657604228,148375
2021-08-24 18:54:17.271+0000,,37,13,18,0,936834,127720,0.13633151657604228,148375
2021-08-28 18:48:12.623+0000,,20,7,12,0,936834,127720,0.13633151657604228,148375
2021-08-27 18:52:16.357+0000,,39,15,21,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:44:45.066+0000,,33,10,18,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:09:03.848+0000,,19,6,12,1,936834,127720,0.13633151657604228,148375
2021-08-25 18:53:59.137+0000,,37,11,21,1,936834,127720,0.13633151657604228,148375
2021-08-26 18:51:55.693+0000,,34,11,17,1,936834,127720,0.13633151657604228,148375
2021-08-31 18:53:08.697+0000,,33,11,15,3,936834,127720,0.13633151657604228,148375
2021-09-01 18:53:26.067+0000,,32,8,18,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:08:04.367+0000,,27,12,15,0,936834,127720,0.13633151657604228,148375
2021-08-25 18:53:09.126+0000,,32,11,16,1,936834,127720,0.13633151657604228,148375
2021-08-28 18:47:08.644+0000,,39,15,17,2,936834,127720,0.13633151657604228,148375
2021-08-30 18:53:54.827+0000,,34,13,16,2,936834,127720,0.13633151657604228,148375
2021-08-31 18:52:05.228+0000,,33,10,19,0,936834,127720,0.13633151657604228,148375
2021-08-26 18:51:08.385+0000,,30,15,13,0,936834,127720,0.13633151657604228,148375
2021-08-24 18:53:28.446+0000,,36,12,20,0,936834,127720,0.13633151657604228,148375
2021-09-01 18:52:35.507+0000,,36,10,17,3,936834,127720,0.13633151657604228,148375
2021-08-27 18:51:16.384+0000,,42,14,22,3,936834,127720,0.13633151657604228,148375
2021-08-24 18:52:35.156+0000,,31,13,16,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:43:35.833+0000,,35,13,19,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:06:59.094+0000,,27,11,16,0,936834,127720,0.13633151657604228,148375
2021-08-31 18:51:09.509+0000,,34,15,14,2,936834,127720,0.13633151657604228,148375
2021-08-28 18:45:49.151+0000,,36,11,18,4,936834,127720,0.13633151657604228,148375
2021-08-26 18:50:17.417+0000,,30,5,21,0,936834,127720,0.13633151657604228,148375
2021-08-28 18:44:49.940+0000,,31,11,14,1,936834,127720,0.13633151657604228,148375
2021-09-01 18:51:43.658+0000,,29,7,15,3,936834,127720,0.13633151657604228,148375
2021-08-27 18:50:31.579+0000,,30,10,17,0,936834,127720,0.13633151657604228,148375
2021-08-25 18:52:10.148+0000,,38,13,20,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:42:20.490+0000,,33,12,18,0,936834,127720,0.13633151657604228,148375
2021-08-30 18:53:02.698+0000,,32,10,20,0,936834,127720,0.13633151657604228,148375
2021-08-24 18:51:42.644+0000,,34,13,16,1,936834,127720,0.13633151657604228,148375
2021-09-02 18:06:00.130+0000,,24,11,12,1,936834,127720,0.13633151657604228,148375
2021-08-31 18:50:14.433+0000,,32,10,17,1,936834,127720,0.13633151657604228,148375
2021-08-28 18:43:44.687+0000,,27,7,19,0,936834,127720,0.13633151657604228,148375
2021-08-30 18:52:14.893+0000,,33,7,24,0,936834,127720,0.13633151657604228,148375
2021-08-25 18:51:17.180+0000,,33,8,22,0,936834,127720,0.13633151657604228,148375
2021-09-02 18:04:49.347+0000,,14,6,8,0,936834,127720,0.13633151657604228,148375
2021-08-24 18:51:00.032+0000,,26,5,19,2,936834,127720,0.13633151657604228,148375
2021-09-01 18:50:50.415+0000,,43,17,20,2,936834,127720,0.13633151657604228,148375
2021-08-26 18:49:32.637+0000,,28,11,14,0,936834,127720,0.13633151657604228,148375
2021-08-30 18:51:28.827+0000,,23,10,8,1,936834,127720,0.13633151657604228,148375
2021-08-29 18:41:09.965+0000,,35,11,20,1,936834,127720,0.13633151657604228,148375
2021-08-25 18:50:26.347+0000,,40,10,27,1,936834,127720,0.13633151657604228,148375
